A,Count(A),Event,P(B|A)
LRRLR,126,L|LRRLR,0.40476190476190477
LRRLR,126,R|LRRLR,0.5952380952380952
LRRRL,159,L|LRRRL,0.5094339622641509
LRRRL,159,R|LRRRL,0.49056603773584906
LRRRR,300,L|LRRRR,0.30333333333333334
LRRRR,300,R|LRRRR,0.6966666666666667
RLLLL,308,L|RLLLL,0.6753246753246753
RLLLL,308,R|RLLLL,0.3246753246753247
RLLLR,139,L|RLLLR,0.60431654676259
RLLLR,139,R|RLLLR,0.39568345323741005
RLLRL,107,L|RLLRL,0.5420560747663551
RLLRL,107,R|RLLRL,0.45794392523364486
RLLRR,117,L|RLLRR,0.3162393162393162
RLLRR,117,R|RLLRR,0.6837606837606838
RLRLL,101,L|RLRLL,0.6336633663366337
RLRLL,101,R|RLRLL,0.36633663366336633
RLRLR,75,L|RLRLR,0.28
RLRLR,75,R|RLRLR,0.72
RLRRL,108,L|RLRRL,0.49074074074074076
RLRRL,108,R|RLRRL,0.5092592592592593
RLRRR,176,L|RLRRR,0.30113636363636365
RLRRR,176,R|RLRRR,0.6988636363636364
RRLLL,173,L|RRLLL,0.7514450867052023
RRLLL,173,R|RRLLL,0.24855491329479767
RRLLR,102,L|RRLLR,0.4803921568627451
RRLLR,102,R|RRLLR,0.5196078431372549
RRLRL,106,L|RRLRL,0.660377358490566
RRLRL,106,R|RRLRL,0.33962264150943394
RRLRR,170,L|RRLRR,0.37058823529411766
RRLRR,170,R|RRLRR,0.6294117647058823
RRRLL,203,L|RRRLL,0.6305418719211823
RRRLL,203,R|RRRLL,0.3694581280788177
RRRLR,202,L|RRRLR,0.4405940594059406
RRRLR,202,R|RRRLR,0.5594059405940595
RRRRL,255,L|RRRRL,0.5215686274509804
RRRRL,255,R|RRRRL,0.47843137254901963
RRRRR,679,L|RRRRR,0.2695139911634757
RRRRR,679,R|RRRRR,0.7304860088365243
LLLLLL,388,L|LLLLLL,0.7938144329896907
LLLLLL,388,R|LLLLLL,0.20618556701030927
LLLLLR,106,L|LLLLLR,0.3584905660377358
LLLLLR,106,R|LLLLLR,0.6415094339622641
LLLLRL,62,L|LLLLRL,0.6612903225806451
LLLLRL,62,R|LLLLRL,0.3387096774193548
LLLLRR,79,L|LLLLRR,0.34177215189873417
LLLLRR,79,R|LLLLRR,0.6582278481012658
LLLRLL,54,L|LLLRLL,0.7592592592592593
LLLRLL,54,R|LLLRLL,0.24074074074074073
LLLRLR,39,L|LLLRLR,0.41025641025641024
LLLRLR,39,R|LLLRLR,0.5897435897435898
LLLRRL,26,L|LLLRRL,0.5384615384615384
LLLRRL,26,R|LLLRRL,0.46153846153846156
LLLRRR,50,L|LLLRRR,0.32
LLLRRR,50,R|LLLRRR,0.68
LLRLLL,46,L|LLRLLL,0.5869565217391305
LLRLLL,46,R|LLRLLL,0.41304347826086957
LLRLLR,24,L|LLRLLR,0.3333333333333333
LLRLLR,24,R|LLRLLR,0.6666666666666666
LLRLRL,18,L|LLRLRL,0.5555555555555556
LLRLRL,18,R|LLRLRL,0.4444444444444444
LLRLRR,25,L|LLRLRR,0.28
LLRLRR,25,R|LLRLRR,0.72
LLRRLL,20,L|LLRRLL,0.5
LLRRLL,20,R|LLRRLL,0.5
LLRRLR,29,L|LLRRLR,0.3793103448275862
LLRRLR,29,R|LLRRLR,0.6206896551724138
LLRRRL,39,L|LLRRRL,0.5641025641025641
LLRRRL,39,R|LLRRRL,0.4358974358974359
LLRRRR,65,L|LLRRRR,0.3076923076923077
LLRRRR,65,R|LLRRRR,0.6923076923076923
LRLLLL,71,L|LRLLLL,0.6901408450704225
LRLLLL,71,R|LRLLLL,0.30985915492957744
LRLLLR,38,L|LRLLLR,0.6052631578947368
LRLLLR,38,R|LRLLLR,0.39473684210526316
LRLLRL,26,L|LRLLRL,0.6538461538461539
LRLLRL,26,R|LRLLRL,0.34615384615384615
LRLLRR,30,L|LRLLRR,0.26666666666666666
LRLLRR,30,R|LRLLRR,0.7333333333333333
LRLRLL,12,L|LRLRLL,0.6666666666666666
LRLRLL,12,R|LRLRLL,0.3333333333333333
LRLRLR,15,L|LRLRLR,0.2
LRLRLR,15,R|LRLRLR,0.8
LRLRRL,14,L|LRLRRL,0.6428571428571429
LRLRRL,14,R|LRLRRL,0.35714285714285715
LRLRRR,35,L|LRLRRR,0.22857142857142856
LRLRRR,35,R|LRLRRR,0.7714285714285715
LRRLLL,29,L|LRRLLL,0.7586206896551724
LRRLLL,29,R|LRRLLL,0.2413793103448276
LRRLLR,16,L|LRRLLR,0.5625
LRRLLR,16,R|LRRLLR,0.4375
LRRLRL,22,L|LRRLRL,0.8181818181818182
LRRLRL,22,R|LRRLRL,0.18181818181818182
LRRLRR,35,L|LRRLRR,0.2
LRRLRR,35,R|LRRLRR,0.8
LRRRLL,40,L|LRRRLL,0.6
LRRRLL,40,R|LRRRLL,0.4
LRRRLR,53,L|LRRRLR,0.5094339622641509
LRRRLR,53,R|LRRRLR,0.49056603773584906
LRRRRL,54,L|LRRRRL,0.6481481481481481
LRRRRL,54,R|LRRRRL,0.35185185185185186
LRRRRR,138,L|LRRRRR,0.2028985507246377
LRRRRR,138,R|LRRRRR,0.7971014492753623
RLLLLL,151,L|RLLLLL,0.7483443708609272
RLLLLL,151,R|RLLLLL,0.25165562913907286
RLLLLR,66,L|RLLLLR,0.3787878787878788
RLLLLR,66,R|RLLLLR,0.6212121212121212
RLLLRL,42,L|RLLLRL,0.7142857142857143
RLLLRL,42,R|RLLLRL,0.2857142857142857
RLLLRR,27,L|RLLLRR,0.37037037037037035
RLLLRR,27,R|RLLLRR,0.6296296296296297
RLLRLL,29,L|RLLRLL,0.5862068965517241
RLLRLL,29,R|RLLRLL,0.41379310344827586
RLLRLR,22,L|RLLRLR,0.2727272727272727
RLLRLR,22,R|RLLRLR,0.7272727272727273
RLLRRL,8,L|RLLRRL,0.875
RLLRRL,8,R|RLLRRL,0.125
RLLRRR,32,L|RLLRRR,0.3125
RLLRRR,32,R|RLLRRR,0.6875
RLRLLL,33,L|RLRLLL,0.7272727272727273
RLRLLL,33,R|RLRLLL,0.2727272727272727
RLRLLR,17,L|RLRLLR,0.4117647058823529
RLRLLR,17,R|RLRLLR,0.5882352941176471
RLRLRL,14,L|RLRLRL,0.42857142857142855
RLRLRL,14,R|RLRLRL,0.5714285714285714
RLRLRR,27,L|RLRLRR,0.25925925925925924
RLRLRR,27,R|RLRLRR,0.7407407407407407
RLRRLL,13,L|RLRRLL,0.6153846153846154
RLRRLL,13,R|RLRRLL,0.38461538461538464
RLRRLR,34,L|RLRRLR,0.4117647058823529
RLRRLR,34,R|RLRRLR,0.5882352941176471
RLRRRL,28,L|RLRRRL,0.6071428571428571
RLRRRL,28,R|RLRRRL,0.39285714285714285
RLRRRR,76,L|RLRRRR,0.2894736842105263
RLRRRR,76,R|RLRRRR,0.7105263157894737
RRLLLL,69,L|RRLLLL,0.6666666666666666
RRLLLL,69,R|RRLLLL,0.3333333333333333
RRLLLR,29,L|RRLLLR,0.5862068965517241
RRLLLR,29,R|RRLLLR,0.41379310344827586
RRLLRL,26,L|RRLLRL,0.5384615384615384
RRLLRL,26,R|RRLLRL,0.46153846153846156
RRLLRR,27,L|RRLLRR,0.2962962962962963
RRLLRR,27,R|RRLLRR,0.7037037037037037
RRLRLL,22,L|RRLRLL,0.6818181818181818
RRLRLL,22,R|RRLRLL,0.3181818181818182
RRLRLR,12,L|RRLRLR,0.16666666666666666
RRLRLR,12,R|RRLRLR,0.8333333333333334
RRLRRL,26,L|RRLRRL,0.6153846153846154
RRLRRL,26,R|RRLRRL,0.38461538461538464
RRLRRR,43,L|RRLRRR,0.3953488372093023
RRLRRR,43,R|RRLRRR,0.6046511627906976
RRRLLL,59,L|RRRLLL,0.7627118644067796
RRRLLL,59,R|RRRLLL,0.23728813559322035
RRRLLR,27,L|RRRLLR,0.3333333333333333
RRRLLR,27,R|RRRLLR,0.6666666666666666
RRRLRL,42,L|RRRLRL,0.7142857142857143
RRRLRL,42,R|RRRLRL,0.2857142857142857
RRRLRR,62,L|RRRLRR,0.3225806451612903
RRRLRR,62,R|RRRLRR,0.6774193548387096
RRRRLL,68,L|RRRRLL,0.6470588235294118
RRRRLL,68,R|RRRRLL,0.35294117647058826
RRRRLR,67,L|RRRRLR,0.2835820895522388
RRRRLR,67,R|RRRRLR,0.7164179104477612
RRRRRL,93,L|RRRRRL,0.5268817204301075
RRRRRL,93,R|RRRRRL,0.4731182795698925
RRRRRR,372,L|RRRRRR,0.2768817204301075
RRRRRR,372,R|RRRRRR,0.7231182795698925
LLLLLLL,219,L|LLLLLLL,0.7945205479452054
LLLLLLL,219,R|LLLLLLL,0.2054794520547945
LLLLLLR,26,L|LLLLLLR,0.38461538461538464
LLLLLLR,26,R|LLLLLLR,0.6153846153846154
LLLLLRL,8,L|LLLLLRL,0.75
LLLLLRL,8,R|LLLLLRL,0.25
LLLLLRR,31,L|LLLLLRR,0.1935483870967742
LLLLLRR,31,R|LLLLLRR,0.8064516129032258
LLLLRLL,20,L|LLLLRLL,0.85
LLLLRLL,20,R|LLLLRLL,0.15
LLLLRLR,6,L|LLLLRLR,0.5
LLLLRLR,6,R|LLLLRLR,0.5
LLLLRRL,7,L|LLLLRRL,0.14285714285714285
LLLLRRL,7,R|LLLLRRL,0.8571428571428571
LLLLRRR,15,L|LLLLRRR,0.3333333333333333
LLLLRRR,15,R|LLLLRRR,0.6666666666666666
LLLRLLL,16,L|LLLRLLL,0.5
LLLRLLL,16,R|LLLRLLL,0.5
LLLRLLR,3,L|LLLRLLR,0.3333333333333333
LLLRLLR,3,R|LLLRLLR,0.6666666666666666
LLLRLRL,2,L|LLLRLRL,1.0
LLLRLRL,2,R|LLLRLRL,0.0
LLLRLRR,6,L|LLLRLRR,0.16666666666666666
LLLRLRR,6,R|LLLRLRR,0.8333333333333334
LLLRRLL,5,L|LLLRRLL,0.8
LLLRRLL,5,R|LLLRRLL,0.2
LLLRRLR,4,L|LLLRRLR,0.0
LLLRRLR,4,R|LLLRRLR,1.0
LLLRRRL,5,L|LLLRRRL,0.6
LLLRRRL,5,R|LLLRRRL,0.4
LLLRRRR,11,L|LLLRRRR,0.36363636363636365
LLLRRRR,11,R|LLLRRRR,0.6363636363636364
LLRLLLL,16,L|LLRLLLL,0.875
LLRLLLL,16,R|LLRLLLL,0.125
LLRLLLR,6,L|LLRLLLR,0.5
LLRLLLR,6,R|LLRLLLR,0.5
LLRLLRL,0,L|LLRLLRL,0.0
LLRLLRL,0,R|LLRLLRL,0.0
LLRLLRR,4,L|LLRLLRR,0.0
LLRLLRR,4,R|LLRLLRR,1.0
LLRLRLL,1,L|LLRLRLL,1.0
LLRLRLL,1,R|LLRLRLL,0.0
LLRLRLR,2,L|LLRLRLR,0.0
LLRLRLR,2,R|LLRLRLR,1.0
LLRLRRL,0,L|LLRLRRL,0.0
LLRLRRL,0,R|LLRLRRL,0.0
LLRLRRR,5,L|LLRLRRR,0.2
LLRLRRR,5,R|LLRLRRR,0.8
LLRRLLL,2,L|LLRRLLL,1.0
LLRRLLL,2,R|LLRRLLL,0.0
LLRRLLR,3,L|LLRRLLR,0.3333333333333333
LLRRLLR,3,R|LLRRLLR,0.6666666666666666
LLRRLRL,2,L|LLRRLRL,1.0
LLRRLRL,2,R|LLRRLRL,0.0
LLRRLRR,4,L|LLRRLRR,0.0
LLRRLRR,4,R|LLRRLRR,1.0
LLRRRLL,6,L|LLRRRLL,1.0
LLRRRLL,6,R|LLRRRLL,0.0
LLRRRLR,6,L|LLRRRLR,0.3333333333333333
LLRRRLR,6,R|LLRRRLR,0.6666666666666666
LLRRRRL,10,L|LLRRRRL,0.8
LLRRRRL,10,R|LLRRRRL,0.2
LLRRRRR,23,L|LLRRRRR,0.13043478260869565
LLRRRRR,23,R|LLRRRRR,0.8695652173913043
LRLLLLL,25,L|LRLLLLL,0.72
LRLLLLL,25,R|LRLLLLL,0.28
LRLLLLR,9,L|LRLLLLR,0.0
LRLLLLR,9,R|LRLLLLR,1.0
LRLLLRL,7,L|LRLLLRL,1.0
LRLLLRL,7,R|LRLLLRL,0.0
LRLLLRR,4,L|LRLLLRR,0.0
LRLLLRR,4,R|LRLLLRR,1.0
LRLLRLL,2,L|LRLLRLL,0.5
LRLLRLL,2,R|LRLLRLL,0.5
LRLLRLR,3,L|LRLLRLR,0.0
LRLLRLR,3,R|LRLLRLR,1.0
LRLLRRL,1,L|LRLLRRL,1.0
LRLLRRL,1,R|LRLLRRL,0.0
LRLLRRR,7,L|LRLLRRR,0.14285714285714285
LRLLRRR,7,R|LRLLRRR,0.8571428571428571
LRLRLLL,4,L|LRLRLLL,0.75
LRLRLLL,4,R|LRLRLLL,0.25
LRLRLLR,0,L|LRLRLLR,0.0
LRLRLLR,0,R|LRLRLLR,0.0
LRLRLRL,2,L|LRLRLRL,1.0
LRLRLRL,2,R|LRLRLRL,0.0
LRLRLRR,4,L|LRLRLRR,0.0
LRLRLRR,4,R|LRLRLRR,1.0
LRLRRLL,1,L|LRLRRLL,1.0
LRLRRLL,1,R|LRLRRLL,0.0
LRLRRLR,3,L|LRLRRLR,0.0
LRLRRLR,3,R|LRLRRLR,1.0
LRLRRRL,2,L|LRLRRRL,0.5
LRLRRRL,2,R|LRLRRRL,0.5
LRLRRRR,7,L|LRLRRRR,0.2857142857142857
LRLRRRR,7,R|LRLRRRR,0.7142857142857143
LRRLLLL,5,L|LRRLLLL,0.8
LRRLLLL,5,R|LRRLLLL,0.2
LRRLLLR,4,L|LRRLLLR,0.5
LRRLLLR,4,R|LRRLLLR,0.5
LRRLLRL,3,L|LRRLLRL,0.6666666666666666
LRRLLRL,3,R|LRRLLRL,0.3333333333333333
LRRLLRR,2,L|LRRLLRR,0.0
LRRLLRR,2,R|LRRLLRR,1.0
LRRLRLL,8,L|LRRLRLL,0.875
LRRLRLL,8,R|LRRLRLL,0.125
LRRLRLR,0,L|LRRLRLR,0.0
LRRLRLR,0,R|LRRLRLR,0.0
LRRLRRL,1,L|LRRLRRL,1.0
LRRLRRL,1,R|LRRLRRL,0.0
LRRLRRR,8,L|LRRLRRR,0.375
LRRLRRR,8,R|LRRLRRR,0.625
LRRRLLL,9,L|LRRRLLL,0.5555555555555556
LRRRLLL,9,R|LRRRLLL,0.4444444444444444
LRRRLLR,3,L|LRRRLLR,0.3333333333333333
LRRRLLR,3,R|LRRRLLR,0.6666666666666666
LRRRLRL,8,L|LRRRLRL,0.75
LRRRLRL,8,R|LRRRLRL,0.25
LRRRLRR,13,L|LRRRLRR,0.3076923076923077
LRRRLRR,13,R|LRRRLRR,0.6923076923076923
LRRRRLL,13,L|LRRRRLL,0.8461538461538461
LRRRRLL,13,R|LRRRRLL,0.15384615384615385
LRRRRLR,6,L|LRRRRLR,0.16666666666666666
LRRRRLR,6,R|LRRRRLR,0.8333333333333334
LRRRRRL,9,L|LRRRRRL,0.3333333333333333
LRRRRRL,9,R|LRRRRRL,0.6666666666666666
LRRRRRR,75,L|LRRRRRR,0.25333333333333335
LRRRRRR,75,R|LRRRRRR,0.7466666666666667
RLLLLLL,75,L|RLLLLLL,0.8533333333333334
RLLLLLL,75,R|RLLLLLL,0.14666666666666667
RLLLLLR,21,L|RLLLLLR,0.5238095238095238
RLLLLLR,21,R|RLLLLLR,0.47619047619047616
RLLLLRL,8,L|RLLLLRL,0.625
RLLLLRL,8,R|RLLLLRL,0.375
RLLLLRR,16,L|RLLLLRR,0.1875
RLLLLRR,16,R|RLLLLRR,0.8125
RLLLRLL,12,L|RLLLRLL,1.0
RLLLRLL,12,R|RLLLRLL,0.0
RLLLRLR,5,L|RLLLRLR,0.4
RLLLRLR,5,R|RLLLRLR,0.6
RLLLRRL,1,L|RLLLRRL,1.0
RLLLRRL,1,R|RLLLRRL,0.0
RLLLRRR,8,L|RLLLRRR,0.125
RLLLRRR,8,R|RLLLRRR,0.875
RLLRLLL,8,L|RLLRLLL,0.375
RLLRLLL,8,R|RLLRLLL,0.625
RLLRLLR,4,L|RLLRLLR,0.25
RLLRLLR,4,R|RLLRLLR,0.75
RLLRLRL,2,L|RLLRLRL,1.0
RLLRLRL,2,R|RLLRLRL,0.0
RLLRLRR,3,L|RLLRLRR,0.0
RLLRLRR,3,R|RLLRLRR,1.0
RLLRRLL,0,L|RLLRRLL,0.0
RLLRRLL,0,R|RLLRRLL,0.0
RLLRRLR,1,L|RLLRRLR,0.0
RLLRRLR,1,R|RLLRRLR,1.0
RLLRRRL,5,L|RLLRRRL,0.6
RLLRRRL,5,R|RLLRRRL,0.4
RLLRRRR,7,L|RLLRRRR,0.14285714285714285
RLLRRRR,7,R|RLLRRRR,0.8571428571428571
RLRLLLL,7,L|RLRLLLL,1.0
RLRLLLL,7,R|RLRLLLL,0.0
RLRLLLR,2,L|RLRLLLR,1.0
RLRLLLR,2,R|RLRLLLR,0.0
RLRLLRL,2,L|RLRLLRL,1.0
RLRLLRL,2,R|RLRLLRL,0.0
RLRLLRR,5,L|RLRLLRR,0.2
RLRLLRR,5,R|RLRLLRR,0.8
RLRLRLL,1,L|RLRLRLL,1.0
RLRLRLL,1,R|RLRLRLL,0.0
RLRLRLR,0,L|RLRLRLR,0.0
RLRLRLR,0,R|RLRLRLR,0.0
RLRLRRL,2,L|RLRLRRL,1.0
RLRLRRL,2,R|RLRLRRL,0.0
RLRLRRR,7,L|RLRLRRR,0.14285714285714285
RLRLRRR,7,R|RLRLRRR,0.8571428571428571
RLRRLLL,2,L|RLRRLLL,1.0
RLRRLLL,2,R|RLRRLLL,0.0
RLRRLLR,1,L|RLRRLLR,1.0
RLRRLLR,1,R|RLRRLLR,0.0
RLRRLRL,2,L|RLRRLRL,1.0
RLRRLRL,2,R|RLRRLRL,0.0
RLRRLRR,7,L|RLRRLRR,0.0
RLRRLRR,7,R|RLRRLRR,1.0
RLRRRLL,5,L|RLRRRLL,1.0
RLRRRLL,5,R|RLRRRLL,0.0
RLRRRLR,6,L|RLRRRLR,0.5
RLRRRLR,6,R|RLRRRLR,0.5
RLRRRRL,7,L|RLRRRRL,0.8571428571428571
RLRRRRL,7,R|RLRRRRL,0.14285714285714285
RLRRRRR,27,L|RLRRRRR,0.1111111111111111
RLRRRRR,27,R|RLRRRRR,0.8888888888888888
RRLLLLL,29,L|RRLLLLL,0.7931034482758621
RRLLLLL,29,R|RRLLLLL,0.20689655172413793
RRLLLLR,11,L|RRLLLLR,0.18181818181818182
RRLLLLR,11,R|RRLLLLR,0.8181818181818182
RRLLLRL,4,L|RRLLLRL,1.0
RRLLLRL,4,R|RRLLLRL,0.0
RRLLLRR,6,L|RRLLLRR,0.3333333333333333
RRLLLRR,6,R|RRLLLRR,0.6666666666666666
RRLLRLL,5,L|RRLLRLL,0.8
RRLLRLL,5,R|RRLLRLL,0.2
RRLLRLR,3,L|RRLLRLR,0.3333333333333333
RRLLRLR,3,R|RRLLRLR,0.6666666666666666
RRLLRRL,1,L|RRLLRRL,1.0
RRLLRRL,1,R|RRLLRRL,0.0
RRLLRRR,5,L|RRLLRRR,0.2
RRLLRRR,5,R|RRLLRRR,0.8
RRLRLLL,4,L|RRLRLLL,0.75
RRLRLLL,4,R|RRLRLLL,0.25
RRLRLLR,2,L|RRLRLLR,0.5
RRLRLLR,2,R|RRLRLLR,0.5
RRLRLRL,0,L|RRLRLRL,0.0
RRLRLRL,0,R|RRLRLRL,0.0
RRLRLRR,2,L|RRLRLRR,0.0
RRLRLRR,2,R|RRLRLRR,1.0
RRLRRLL,3,L|RRLRRLL,0.3333333333333333
RRLRRLL,3,R|RRLRRLL,0.6666666666666666
RRLRRLR,2,L|RRLRRLR,0.5
RRLRRLR,2,R|RRLRRLR,0.5
RRLRRRL,5,L|RRLRRRL,0.6
RRLRRRL,5,R|RRLRRRL,0.4
RRLRRRR,12,L|RRLRRRR,0.3333333333333333
RRLRRRR,12,R|RRLRRRR,0.6666666666666666
RRRLLLL,16,L|RRRLLLL,0.625
RRRLLLL,16,R|RRRLLLL,0.375
RRRLLLR,6,L|RRRLLLR,0.6666666666666666
RRRLLLR,6,R|RRRLLLR,0.3333333333333333
RRRLLRL,3,L|RRRLLRL,1.0
RRRLLRL,3,R|RRRLLRL,0.0
RRRLLRR,6,L|RRRLLRR,0.5
RRRLLRR,6,R|RRRLLRR,0.5
RRRLRLL,6,L|RRRLRLL,0.8333333333333334
RRRLRLL,6,R|RRRLRLL,0.16666666666666666
RRRLRLR,2,L|RRRLRLR,0.0
RRRLRLR,2,R|RRRLRLR,1.0
RRRLRRL,7,L|RRRLRRL,0.42857142857142855
RRRLRRL,7,R|RRRLRRL,0.5714285714285714
RRRLRRR,16,L|RRRLRRR,0.4375
RRRLRRR,16,R|RRRLRRR,0.5625
RRRRLLL,12,L|RRRRLLL,0.75
RRRRLLL,12,R|RRRRLLL,0.25
RRRRLLR,7,L|RRRRLLR,0.5714285714285714
RRRRLLR,7,R|RRRRLLR,0.42857142857142855
RRRRLRL,3,L|RRRRLRL,0.6666666666666666
RRRRLRL,3,R|RRRRLRL,0.3333333333333333
RRRRLRR,20,L|RRRRLRR,0.25
RRRRLRR,20,R|RRRRLRR,0.75
RRRRRLL,23,L|RRRRRLL,0.7391304347826086
RRRRRLL,23,R|RRRRRLL,0.2608695652173913
RRRRRLR,17,L|RRRRRLR,0.23529411764705882
RRRRRLR,17,R|RRRRRLR,0.7647058823529411
RRRRRRL,44,L|RRRRRRL,0.4318181818181818
RRRRRRL,44,R|RRRRRRL,0.5681818181818182
RRRRRRR,190,L|RRRRRRR,0.25263157894736843
RRRRRRR,190,R|RRRRRRR,0.7473684210526316
LLLLLLLL,117,L|LLLLLLLL,0.8547008547008547
LLLLLLLL,117,R|LLLLLLLL,0.1452991452991453
LLLLLLLR,12,L|LLLLLLLR,0.5833333333333334
LLLLLLLR,12,R|LLLLLLLR,0.4166666666666667
LLLLLLRL,1,L|LLLLLLRL,0.0
LLLLLLRL,1,R|LLLLLLRL,1.0
LLLLLLRR,5,L|LLLLLLRR,0.4
LLLLLLRR,5,R|LLLLLLRR,0.6
LLLLLRLL,0,L|LLLLLRLL,0.0
LLLLLRLL,0,R|LLLLLRLL,0.0
LLLLLRLR,0,L|LLLLLRLR,0.0
LLLLLRLR,0,R|LLLLLRLR,0.0
LLLLLRRL,2,L|LLLLLRRL,0.5
LLLLLRRL,2,R|LLLLLRRL,0.5
LLLLLRRR,8,L|LLLLLRRR,0.25
LLLLLRRR,8,R|LLLLLRRR,0.75
LLLLRLLL,6,L|LLLLRLLL,0.5
LLLLRLLL,6,R|LLLLRLLL,0.5
LLLLRLLR,0,L|LLLLRLLR,0.0
LLLLRLLR,0,R|LLLLRLLR,0.0
LLLLRLRL,1,L|LLLLRLRL,1.0
LLLLRLRL,1,R|LLLLRLRL,0.0
LLLLRLRR,1,L|LLLLRLRR,0.0
LLLLRLRR,1,R|LLLLRLRR,1.0
LLLLRRLL,0,L|LLLLRRLL,0.0
LLLLRRLL,0,R|LLLLRRLL,0.0
LLLLRRLR,2,L|LLLLRRLR,0.0
LLLLRRLR,2,R|LLLLRRLR,1.0
LLLLRRRL,2,L|LLLLRRRL,0.5
LLLLRRRL,2,R|LLLLRRRL,0.5
LLLLRRRR,1,L|LLLLRRRR,1.0
LLLLRRRR,1,R|LLLLRRRR,0.0
LLLRLLLL,4,L|LLLRLLLL,0.5
LLLRLLLL,4,R|LLLRLLLL,0.5
LLLRLLLR,3,L|LLLRLLLR,0.6666666666666666
LLLRLLLR,3,R|LLLRLLLR,0.3333333333333333
LLLRLLRL,0,L|LLLRLLRL,0.0
LLLRLLRL,0,R|LLLRLLRL,0.0
LLLRLLRR,1,L|LLLRLLRR,0.0
LLLRLLRR,1,R|LLLRLLRR,1.0
LLLRLRLL,0,L|LLLRLRLL,0.0
